cui	fword	text	code	sourcetype	tui
C0018802	congestive	congestive heart failure	C3080	NCI	T047
C0018802	CHF	CHF NOS	428.0	ICD9CM	T047
C0018802	Congestive	Congestive cardiac failure	155375008	SNOMEDCT	T047
C0018802	Congestive	Congestive cardiac failure	195108009	SNOMEDCT	T047
C0018802	Congestive	Congestive cardiac failure	266308000	SNOMEDCT	T047
C0018802	Congestive	Congestive cardiac failure	42343007	SNOMEDCT	T047
C0018802	Cardiac	Cardiac Failure Congestive	C3080	NCI	T047
C0018802	Congestive	Congestive heart disease	428.0	MTHICD9	T047
C0018802	Congestive	Congestive heart disease	42343007	SNOMEDCT	T047
C0018802	CCF	CCF - Congestive cardiac failure	42343007	SNOMEDCT	T047
C0018802	CHF	CHF - Congestive heart failure	42343007	SNOMEDCT	T047
C0018802	Congestive	Congestive heart failure , unspecified	428.0	ICD9CM	T047
C0018802	Congestive	Congestive cardiac fail	155375008	SNOMEDCT	T047
C0018802	Congestive	Congestive cardiac fail	266308000	SNOMEDCT	T047
C0018802	Congetive	Congetive cardiac failure	155375008	SNOMEDCT	T047
C0018802	Congetive	Congetive cardiac failure	266308000	SNOMEDCT	T047
C0018802	Congestive	Congestive heart failure ( disorder )	42343007	SNOMEDCT	T047
C0019552	Hip	Hip region structure	29836001	SNOMEDCT	T023
C0019552	Hip	Hip	C64193	NCI	T023
C0019552	Hip	Hip	24136001	SNOMEDCT	T023
C0019552	Hip	Hip	29836001	SNOMEDCT	T023
C0019552	Hip	Hip , NOS	29836001	SNOMEDCT	T023
C0019552	Hip	Hip region	29836001	SNOMEDCT	T023
C0019552	Bone	Bone structure of hip	304907005	SNOMEDCT	T023
C0019552	Hip	Hip structure	29836001	SNOMEDCT	T023
C0019552	Bone	Bone structure of hip ( body structure )	304907005	SNOMEDCT	T023
C0019552	Hip	Hip region structure ( body structure )	29836001	SNOMEDCT	T023
C0019939	Horn	Horn	69221006	SNOMEDCT	T023
C0019939	Horn	Horn , NOS	69221006	SNOMEDCT	T023
C0019939	Horn	Horn ( body structure )	69221006	SNOMEDCT	T023
C0019939	Horn	Horn structure ( body structure )	69221006	SNOMEDCT	T023
C0019939	Horn	Horn structure	69221006	SNOMEDCT	T023
C0020162	Fracture	Fracture of humerus NOS	157210009	SNOMEDCT	T037
C0020162	Fracture	Fracture of humerus NOS	157210009	SNOMEDCT	T037
C0020162	Fracture	Fracture of humerus NOS	208291001	SNOMEDCT	T037
C0020162	Fracture	Fracture of humerus	157206006	SNOMEDCT	T037
C0020162	Fracture	Fracture of humerus	157206006	SNOMEDCT	T037
C0020162	Fracture	Fracture of humerus	812	ICD9CM	T037
C0020162	Fracture	Fracture of humerus	66308002	SNOMEDCT	T037
C0020162	Fracture	Fracture of humerus , NOS	66308002	SNOMEDCT	T037
C0020162	Humerus	Humerus Fracture	C26795	NCI	T037
C0020162	Fracture	Fracture of upper arm	66308002	SNOMEDCT	T037
C0020162	Fracture	Fracture of upper arm , NOS	66308002	SNOMEDCT	T037
C0020162	Fracture	Fracture of humerus NOS ( disorder )	157210009	SNOMEDCT	T037
C0020162	Fracture	Fracture of humerus NOS ( disorder )	208291001	SNOMEDCT	T037
C0020162	Fracture	Fracture of humerus ( disorder )	157206006	SNOMEDCT	T037
C0020162	Fracture	Fracture of humerus ( disorder )	66308002	SNOMEDCT	T037
C0020164	Bone	Bone structure of humerus	85050009	SNOMEDCT	T023
C0020164	Bone	Bone of arm	68002001	SNOMEDCT	T023
C0020164	Bone	Bone of arm , NOS	68002001	SNOMEDCT	T023
C0020164	Humerus	Humerus	C12731	NCI	T023
C0020164	Humerus	Humerus	85050009	SNOMEDCT	T023
C0020164	Humerus	Humerus , NOS	85050009	SNOMEDCT	T023
C0020164	Bone	Bone structure of upper arm ( body structure )	68002001	SNOMEDCT	T023
C0020164	Bone	Bone structure of upper arm	68002001	SNOMEDCT	T023
C0020164	Bone	Bone structure of humerus ( body structure )	85050009	SNOMEDCT	T023
C0020295	Hydronephrosis	Hydronephrosis	155866001	SNOMEDCT	T047
C0020295	Hydronephrosis	Hydronephrosis	155866001	SNOMEDCT	T047
C0020295	Hydronephrosis	Hydronephrosis	C26796	NCI	T047
C0020295	Hydronephrosis	Hydronephrosis	591	ICD9CM	T047
C0020295	Hydronephrosis	Hydronephrosis	43064006	SNOMEDCT	T047
C0020295	HYDRONEPHROSIS	HYDRONEPHROSIS	591	ICD9CM	T047
C0020295	hydronephrosis	hydronephrosis	C26796	NCI	T047
C0020295	Hydronephrosis	Hydronephrosis NOS	197791000	SNOMEDCT	T047
C0020295	Hydronephrosis	Hydronephrosis NOS ( disorder )	197791000	SNOMEDCT	T047
C0020295	Hydronephrosis	Hydronephrosis ( disorder )	155866001	SNOMEDCT	T047
C0020295	Hydronephrosis	Hydronephrosis ( disorder )	43064006	SNOMEDCT	T047
C0022417	Joint	Joint structure	134313007	SNOMEDCT	T030
C0022417	Joint	Joint structure	134313007	SNOMEDCT	T030
C0022417	Joint	Joint structure	39352004	SNOMEDCT	T030
C0022417	Joint	Joint	C13044	NCI	T030
C0022417	Joint	Joint	39352004	SNOMEDCT	T030
C0022417	Joint	Joint , NOS	39352004	SNOMEDCT	T030
C0022417	Articulation	Articulation	C13044	NCI	T030
C0022417	Articular	Articular	C13044	NCI	T030
C0022417	Joint	Joint structure ( body structure )	134313007	SNOMEDCT	T030
C0022417	Joint	Joint structure ( body structure )	39352004	SNOMEDCT	T030
C0022417	Joint	Joint types	39352004	SNOMEDCT	T030
C0022646	Kidney	Kidney structure	64033007	SNOMEDCT	T023
C0022646	Kidney	Kidney	C12415	NCI	T023
C0022646	Kidney	Kidney	64033007	SNOMEDCT	T023
C0022646	Kidney	Kidney , NOS	64033007	SNOMEDCT	T023
C0022646	kidneys	kidneys	C12415	NCI	T023
C0022646	Renal	Renal	C25225	NCI	T023
C0022646	Renal	Renal structure	64033007	SNOMEDCT	T023
C0022646	Kidney	Kidney structure ( body structure )	64033007	SNOMEDCT	T023
C0022646	Urinary	Urinary System , Kidney	C12415	NCI	T023
C0023216	Region	Region of lower extremity	127951001	SNOMEDCT	T029
C0023216	Lower	Lower extremity region	127951001	SNOMEDCT	T029
C0023216	Hindlimb	Hindlimb , NOS	61685007	SNOMEDCT	T029
C0023216	Leg	Leg	61685007	SNOMEDCT	T029
C0023216	Lower	Lower extremity	61685007	SNOMEDCT	T029
C0023216	Lower	Lower Extremity	C12742	NCI	T029
C0023216	Lower	Lower extremity , NOS	61685007	SNOMEDCT	T029
C0023216	Lower	Lower limb	61685007	SNOMEDCT	T029
C0023216	Lower	Lower limb , NOS	61685007	SNOMEDCT	T029
C0023216	Leg	Leg region	127951001	SNOMEDCT	T029
C0023216	Lower	Lower limb structure	61685007	SNOMEDCT	T029
C0023216	Region	Region of lower extremity ( body structure )	127951001	SNOMEDCT	T029
C0023216	Lower	Lower limb structure ( body structure )	61685007	SNOMEDCT	T029
C0023216	Lower	Lower extremity structure	61685007	SNOMEDCT	T029
C0023221	Leg	Leg length inequality	45939007	SNOMEDCT	T190
C0023221	Leg	Leg length discrepancy	45939007	SNOMEDCT	T190
C0023221	Lower	Lower limb length difference	45939007	SNOMEDCT	T190
C0023221	Leg	Leg length inequality ( finding )	45939007	SNOMEDCT	T190
C0023884	Liver	Liver structure	10200004	SNOMEDCT	T023
C0023884	Liver	Liver	C12392	NCI	T023
C0023884	Liver	Liver	10200004	SNOMEDCT	T023
C0023884	liver	liver	C12392	NCI	T023
C0023884	Liver	Liver , NOS	10200004	SNOMEDCT	T023
C0023884	Body	Body System , Hepatic	C12392	NCI	T023
C0023884	Hepatic	Hepatic Body System	C12392	NCI	T023
C0023884	Organ	Organ System , Hepatic	C12392	NCI	T023
C0023884	Hepatic	Hepatic Organ System	C12392	NCI	T023
C0023884	Liver	Liver structure ( body structure )	10200004	SNOMEDCT	T023
C0023884	Gastrointestinal	Gastrointestinal Tract , Liver	C12392	NCI	T023
C0024109	Lung	Lung structure	39607008	SNOMEDCT	T023
C0024109	Lung	Lung	C12468	NCI	T023
C0024109	Lung	Lung	39607008	SNOMEDCT	T023
C0024109	Lung	Lung , NOS	39607008	SNOMEDCT	T023
C0024109	Pulmonary	Pulmonary	C13304	NCI	T023
C0024109	Pulmonary	Pulmonary	264164005	SNOMEDCT	T023
C0024109	pulmonary	pulmonary	C13304	NCI	T023
C0024109	Lung	Lung structure ( body structure )	39607008	SNOMEDCT	T023
C0024109	Pulmonary	Pulmonary ( qualifier value )	264164005	SNOMEDCT	T023
C0024109	Respiratory	Respiratory System , Lung	C12468	NCI	T023
C0024228	Disorder	Disorder of lymphoid system	111590001	SNOMEDCT	T047
C0024228	Adenopathy	Adenopathy	141342003	SNOMEDCT	T047
C0024228	Adenopathy	Adenopathy	269044004	SNOMEDCT	T047
C0024228	Adenopathy	Adenopathy	C3206	NCI	T047
C0024228	adenopathy	adenopathy	C3206	NCI	T047
C0024228	Lymphadenopathy	Lymphadenopathy	C3206	NCI	T047
C0024228	lymphadenopathy	lymphadenopathy	C3206	NCI	T047
C0024228	Lymphatic	Lymphatic disease	155452000	SNOMEDCT	T047
C0024228	Lymphatic	Lymphatic disease	266326002	SNOMEDCT	T047
C0024228	Disorder	Disorder of lymphatics	3305006	SNOMEDCT	T047
C0024228	Disorder	Disorder of lymphatics , NOS	3305006	SNOMEDCT	T047
C0024228	Lymphatic	Lymphatic Disorders	C3206	NCI	T047
C0024228	Lymphangiopathy	Lymphangiopathy	3305006	SNOMEDCT	T047
C0024228	Lymphangiopathy	Lymphangiopathy , NOS	3305006	SNOMEDCT	T047
C0024228	Disorders	Disorders of lymph node and lymphatics	234087005	SNOMEDCT	T047
C0024228	Disease	Disease of lymphoid system ( disorder )	111590001	SNOMEDCT	T047
C0024228	Disease	Disease of lymphoid system	111590001	SNOMEDCT	T047
C0024228	Disorders	Disorders of lymph node and lymphatics ( disorder )	234087005	SNOMEDCT	T047
C0024228	Disorder	Disorder of lymphatic system ( disorder )	362971004	SNOMEDCT	T047
C0024228	Disorder	Disorder of lymphatic system	362971004	SNOMEDCT	T047
C0024228	Disorder	Disorder of lymphoid system ( disorder )	111590001	SNOMEDCT	T047
C0025066	Mediastinal	Mediastinal structure	72410000	SNOMEDCT	T029
C0025066	Mediastinum	Mediastinum	C12748	NCI	T029
C0025066	Mediastinum	Mediastinum	72410000	SNOMEDCT	T029
C0025066	mediastinum	mediastinum	C12748	NCI	T029
C0025066	Mediastinum	Mediastinum , NOS	72410000	SNOMEDCT	T029
C0025066	Structure	Structure of mediastinum	72410000	SNOMEDCT	T029
C0025066	Mediastinal	Mediastinal	264099006	SNOMEDCT	T029
C0025066	Mediastinal	Mediastinal structure ( body structure )	72410000	SNOMEDCT	T029
C0025066	Mediastinal	Mediastinal ( qualifier value )	264099006	SNOMEDCT	T029
C0025526	Bone	Bone structure of metacarpal	36455000	SNOMEDCT	T023
C0025526	Metacarpal	Metacarpal	C12751	NCI	T023
C0025526	Metacarpal	Metacarpal	36455000	SNOMEDCT	T023
C0025526	Metacarpal	Metacarpal , NOS	36455000	SNOMEDCT	T023
C0025526	Metacarpal	Metacarpal bone	36455000	SNOMEDCT	T023
C0025526	Metacarpal	Metacarpal Bone	C12751	NCI	T023
C0025526	Metacarpal	Metacarpal bone , NOS	36455000	SNOMEDCT	T023
C0025526	Os	Os Metacarpale	C12751	NCI	T023
C0025526	Bone	Bone structure of metacarpal ( body structure )	36455000	SNOMEDCT	T023
C0025584	Metatarsal	Metatarsal bone structure	53884002	SNOMEDCT	T023
C0025584	Metatarsal	Metatarsal bone	53884002	SNOMEDCT	T023
C0025584	Metatarsal	Metatarsal Bone	C12752	NCI	T023
C0025584	Metatarsal	Metatarsal bone , NOS	53884002	SNOMEDCT	T023
C0025584	Metatarsal	Metatarsal	53884002	SNOMEDCT	T023
C0025584	Metatarsal	Metatarsal , NOS	53884002	SNOMEDCT	T023
C0025584	Metatarsal	Metatarsal bone structure ( body structure )	53884002	SNOMEDCT	T023
C0025589	Metatarsophalangeal	Metatarsophalangeal joint structure	46658007	SNOMEDCT	T030
C0025589	Metatarsal	Metatarsal joint	46658007	SNOMEDCT	T030
C0025589	Metatarsal	Metatarsal joint , NOS	46658007	SNOMEDCT	T030
C0025589	Metatarsophalangeal	Metatarsophalangeal joint	46658007	SNOMEDCT	T030
C0025589	Metatarsophalangeal	Metatarsophalangeal Joint	C33108	NCI	T030
C0025589	Metatarsophalangeal	Metatarsophalangeal joint , NOS	46658007	SNOMEDCT	T030
C0025589	[	[ SO ] Metatarsophalangeal joint unspecified	182232001	SNOMEDCT	T030
C0025589	[	[ SO ] Metatarsophalangeal joint unspecified ( body structure )	182232001	SNOMEDCT	T030
C0025589	Metatarsophalangeal	Metatarsophalangeal joint structure ( body structure )	46658007	SNOMEDCT	T030
C0028784	Occipital	Occipital bone structure	31640002	SNOMEDCT	T023
C0028784	Occipital	Occipital bone	31640002	SNOMEDCT	T023
C0028784	Occipital	Occipital Bone	C12757	NCI	T023
C0028784	Occipital	Occipital bone , NOS	31640002	SNOMEDCT	T023
C0028784	Occipital	Occipital bone structure ( body structure )	31640002	SNOMEDCT	T023
C0029053	Decreased	Decreased translucency	87956004	SNOMEDCT	T033
C0029053	Opacity	Opacity	87956004	SNOMEDCT	T033
C0029053	Opacity	Opacity	C71596	NCI	T033
C0029053	Increased	Increased density	125149003	SNOMEDCT	T033
C0029053	Decreased	Decreased translucency ( finding )	87956004	SNOMEDCT	T033
C0029053	Increased	Increased density ( finding )	125149003	SNOMEDCT	T033
C0029053	Increased	Increased mass to volume ratio	125149003	SNOMEDCT	T033
C0029433	Bone	Bone formation	83323007	SNOMEDCT	T042
C0029433	Bone	Bone formation , NOS	83323007	SNOMEDCT	T042
C0029433	Osteogenesis	Osteogenesis	83323007	SNOMEDCT	T042
C0029433	Osteogenesis	Osteogenesis , NOS	83323007	SNOMEDCT	T042
C0029433	Ossification	Ossification	C50680	NCI	T042
C0029433	Ossification	Ossification	C50680	NCI	T042
C0029433	Ossification	Ossification	83323007	SNOMEDCT	T042
C0029433	Ossification	Ossification , NOS	83323007	SNOMEDCT	T042
C0029433	Bone	Bone formation , function ( observable entity )	83323007	SNOMEDCT	T042
C0029433	Bone	Bone formation , function	83323007	SNOMEDCT	T042
C0029433	Bone	Bone formation ( function )	83323007	SNOMEDCT	T042
C0029453	Osteopenia	Osteopenia	C50910	NCI	T046
C0029453	Osteopenia	Osteopenia	C50910	NCI	T046
C0029453	Osteopenia	Osteopenia	312894000	SNOMEDCT	T046
C0029453	Osteopenia	Osteopenia	156879002	SNOMEDCT	T046
C0029453	Osteopenia	Osteopenia	203889002	SNOMEDCT	T046
C0029453	Osteopenia	Osteopenia	156879002	SNOMEDCT	T046
C0029453	Osteopenia	Osteopenia	203889002	SNOMEDCT	T046
C0029453	Osteopenia	Osteopenia	78441005	SNOMEDCT	T046
C0029453	Bone	Bone Loss	C50910	NCI	T046
C0029453	Bone	Bone Loss	C50910	NCI	T046
C0029453	Osteopenia	Osteopenia ( morphologic abnormality )	78441005	SNOMEDCT	T046
C0029453	Osteopenia	Osteopenia ( disorder )	156879002	SNOMEDCT	T046
C0029453	Osteopenia	Osteopenia ( disorder )	203889002	SNOMEDCT	T046
C0029453	Osteopenia	Osteopenia ( disorder )	312894000	SNOMEDCT	T046
C0030797	Pelvic	Pelvic structure	12921003	SNOMEDCT	T029
C0030797	Pelvic	Pelvic	C25399	NCI	T029
C0030797	Pelvic	Pelvic	277113001	SNOMEDCT	T029
C0030797	pelvic	pelvic	C25399	NCI	T029
C0030797	Pelvis	Pelvis	C12767	NCI	T029
C0030797	Pelvis	Pelvis	12921003	SNOMEDCT	T029
C0030797	pelvis	pelvis	C12767	NCI	T029
C0030797	Pelvis	Pelvis , NOS	12921003	SNOMEDCT	T029
C0030797	Pelvic	Pelvic region	12921003	SNOMEDCT	T029
C0030797	Pelvic	Pelvic structure ( body structure )	12921003	SNOMEDCT	T029
C0030797	Pelvic	Pelvic ( qualifier value )	277113001	SNOMEDCT	T029
C0032227	Pleural	Pleural effusion NOS	155608000	SNOMEDCT	T047
C0032227	Pleural	Pleural effusion NOS	266407006	SNOMEDCT	T047
C0032227	Pleural	Pleural effusion NOS	196101005	SNOMEDCT	T047
C0032227	Pleural	Pleural effusion NOS	196101005	SNOMEDCT	T047
C0032227	Pleural	Pleural effusion NOS	511.9	MTHICD9	T047
C0032227	Pleural	Pleural effusion NOS	196097001	SNOMEDCT	T047
C0032227	PLEURAL	PLEURAL EFFUSION NOS	511.9	ICD9CM	T047
C0032227	Pleural	Pleural Effusion	C3331	NCI	T047
C0032227	Pleural	Pleural Effusion	C3331	NCI	T047
C0032227	Pleural	Pleural effusion , NOS	60046008	SNOMEDCT	T047
C0032227	Pleural	Pleural effusion	155606001	SNOMEDCT	T047
C0032227	Pleural	Pleural effusion	155606001	SNOMEDCT	T047
C0032227	Pleural	Pleural effusion	60046008	SNOMEDCT	T047
C0032227	pleural	pleural effusion	C3331	NCI	T047
C0032227	Effusion	Effusion , pleural	C3331	NCI	T047
C0032227	Unspecified	Unspecified pleural effusion	511.9	ICD9CM	T047
C0032227	Pleural	Pleural effusion NOS ( disorder )	196101005	SNOMEDCT	T047
C0032227	Pleural	Pleural effusion NOS ( disorder )	196097001	SNOMEDCT	T047
C0032227	Pleural	Pleural effusion ( disorder )	155606001	SNOMEDCT	T047
C0032227	Pleural	Pleural effusion ( disorder )	60046008	SNOMEDCT	T047
C0035561	Bone	Bone structure of rib	113197003	SNOMEDCT	T023
C0035561	Rib	Rib	C12782	NCI	T023
C0035561	Rib	Rib	113197003	SNOMEDCT	T023
C0035561	Rib	Rib , NOS	113197003	SNOMEDCT	T023
C0035561	Bone	Bone structure of rib ( body structure )	113197003	SNOMEDCT	T023
C0036037	Bone	Bone structure of sacrum	54735007	SNOMEDCT	T023
C0036037	Sacrum	Sacrum	C33508	NCI	T023
C0036037	Sacrum	Sacrum	54735007	SNOMEDCT	T023
C0036037	Sacrum	Sacrum , NOS	54735007	SNOMEDCT	T023
C0036037	Sacral	Sacral bone	54735007	SNOMEDCT	T023
C0036037	Sacral	Sacral Bone	C33504	NCI	T023
C0036037	Sacral	Sacral Spine	C33508	NCI	T023
C0036037	Bone	Bone structure of sacrum ( body structure )	54735007	SNOMEDCT	T023
C0036037	S	S Spine	C33508	NCI	T023
C0037004	Shoulder	Shoulder region structure	16982005	SNOMEDCT	T023
C0037004	Shoulder	Shoulder	C25203	NCI	T023
C0037004	Shoulder	Shoulder	16982005	SNOMEDCT	T023
C0037004	Shoulder	Shoulder , NOS	16982005	SNOMEDCT	T023
C0037004	Shoulder	Shoulder region	16982005	SNOMEDCT	T023
C0037004	Shoulder	Shoulder region structure ( body structure )	16982005	SNOMEDCT	T023
C0037580	Soft	Soft tissue swelling	298349001	SNOMEDCT	T033
C0037580	Soft	Soft tissue swelling ( finding )	298349001	SNOMEDCT	T033
C0037993	Splenic	Splenic structure	78961009	SNOMEDCT	T023
C0037993	Spleen	Spleen	C12432	NCI	T023
C0037993	Spleen	Spleen	78961009	SNOMEDCT	T023
C0037993	spleen	spleen	C12432	NCI	T023
C0037993	Spleen	Spleen , NOS	78961009	SNOMEDCT	T023
C0037993	Splenic	Splenic	C12432	NCI	T023
C0037993	Splenic	Splenic structure ( body structure )	78961009	SNOMEDCT	T023
C0037993	Reticuloendothelial	Reticuloendothelial System , Spleen	C12432	NCI	T023
C0038999	Swelling	Swelling	C3399	NCI	T033
C0038999	Swelling	Swelling	139161006	SNOMEDCT	T033
C0038999	Swelling	Swelling	161906008	SNOMEDCT	T033
C0038999	Swelling	Swelling	248479005	SNOMEDCT	T033
C0038999	Swelling	Swelling	139161006	SNOMEDCT	T033
C0038999	Swelling	Swelling	161906008	SNOMEDCT	T033
C0038999	Swelling	Swelling	248479005	SNOMEDCT	T033
C0038999	Swelling	Swelling	C3399	NCI	T033
C0038999	Swelling	Swelling	65124004	SNOMEDCT	T033
C0038999	Swelling	Swelling , NOS	65124004	SNOMEDCT	T033
C0038999	Tumefaction	Tumefaction	65124004	SNOMEDCT	T033
C0038999	Tumescence	Tumescence	65124004	SNOMEDCT	T033
C0038999	Part	Part of body puffy	248479005	SNOMEDCT	T033
C0038999	Part	Part of body puffy	65124004	SNOMEDCT	T033
C0038999	Part	Part of body swollen	248479005	SNOMEDCT	T033
C0038999	Part	Part of body swollen	65124004	SNOMEDCT	T033
C0038999	Bulging	Bulging	413269001	SNOMEDCT	T033
C0038999	Bulge	Bulge	65124004	SNOMEDCT	T033
C0038999	Bulge	Bulge , NOS	65124004	SNOMEDCT	T033
C0038999	Observation	Observation of swelling	65124004	SNOMEDCT	T033
C0038999	Finding	Finding of swelling ( finding )	300871001	SNOMEDCT	T033
C0038999	Swelling	Swelling ( finding )	248479005	SNOMEDCT	T033
C0038999	Swelling	Swelling ( finding )	139161006	SNOMEDCT	T033
C0038999	Swelling	Swelling ( finding )	161906008	SNOMEDCT	T033
C0038999	Swelling	Swelling ( finding )	65124004	SNOMEDCT	T033
C0038999	Finding	Finding of swelling	300871001	SNOMEDCT	T033
C0038999	Bulging	Bulging ( morphologic abnormality )	413269001	SNOMEDCT	T033
C0039318	Intertarsal	Intertarsal joint structure	27949001	SNOMEDCT	T030
C0039318	Intertarsal	Intertarsal joint	72697006	SNOMEDCT	T030
C0039318	Intertarsal	Intertarsal joint	27949001	SNOMEDCT	T030
C0039318	Tarsal	Tarsal joint	27949001	SNOMEDCT	T030
C0039318	Articulationes	Articulationes intertarseae	27949001	SNOMEDCT	T030
C0039318	Intertarsal	Intertarsal joint structure ( body structure )	27949001	SNOMEDCT	T030
C0039318	Intertarsal	Intertarsal joint - RETIRED -	72697006	SNOMEDCT	T030
C0039318	Intertarsal	Intertarsal joint - RETIRED -	72697006	SNOMEDCT	T030
C0039318	Intertarsal	Intertarsal joint ( body structure )	72697006	SNOMEDCT	T030
C0040067	Thumb	Thumb structure	76505004	SNOMEDCT	T023
C0040067	Thumb	Thumb	76505004	SNOMEDCT	T023
C0040067	Thumb	Thumb , NOS	76505004	SNOMEDCT	T023
C0040067	Thumb	Thumb structure ( body structure )	76505004	SNOMEDCT	T023
C0040132	Thyroid	Thyroid structure	69748006	SNOMEDCT	T023
C0040132	Thyroid	Thyroid gland	69748006	SNOMEDCT	T023
C0040132	Thyroid	Thyroid Gland	C12400	NCI	T023
C0040132	thyroid	thyroid gland	C12400	NCI	T023
C0040132	Thyroid	Thyroid gland , NOS	69748006	SNOMEDCT	T023
C0040132	Thyroid	Thyroid	C12400	NCI	T023
C0040132	Thyroid	Thyroid	69748006	SNOMEDCT	T023
C0040132	thyroid	thyroid	C12400	NCI	T023
C0040132	Thyroid	Thyroid , NOS	69748006	SNOMEDCT	T023
C0040132	Thyroid	Thyroid structure ( body structure )	69748006	SNOMEDCT	T023
C0040132	Head	Head and Neck , Thyroid	C12400	NCI	T023
C0040184	Bone	Bone structure of tibia	12611008	SNOMEDCT	T023
C0040184	Tibia	Tibia	C12800	NCI	T023
C0040184	Tibia	Tibia	12611008	SNOMEDCT	T023
C0040184	Tibia	Tibia , NOS	12611008	SNOMEDCT	T023
C0040184	Bone	Bone structure of tibia ( body structure )	12611008	SNOMEDCT	T023
C0040300	Body	Body tissue structure	85756007	SNOMEDCT	T024
C0040300	Tissue	Tissue Types	C12801	NCI	T024
C0040300	Tissue	Tissue	C12801	NCI	T024
C0040300	Tissue	Tissue	85756007	SNOMEDCT	T024
C0040300	tissue	tissue	C12801	NCI	T024
C0040300	Tissue	Tissue , NOS	85756007	SNOMEDCT	T024
C0040300	Body	Body tissue	85756007	SNOMEDCT	T024
C0040300	Body	Body tissue , NOS	85756007	SNOMEDCT	T024
C0040300	Normal	Normal Tissue	C12801	NCI	T024
C0040300	Body	Body tissue structure ( body structure )	85756007	SNOMEDCT	T024
C0042449	Venous	Venous structure	29092000	SNOMEDCT	T023
C0042449	Vein	Vein	C12814	NCI	T023
C0042449	Vein	Vein	29092000	SNOMEDCT	T023
C0042449	Vein	Vein , NOS	29092000	SNOMEDCT	T023
C0042449	Venous	Venous	C12814	NCI	T023
C0042449	Venous	Venous structure ( body structure )	29092000	SNOMEDCT	T023
C0043246	Laceration	Laceration	C50446	NCI	T037
C0043246	Laceration	Laceration	210496003	SNOMEDCT	T037
C0043246	Laceration	Laceration	35933005	SNOMEDCT	T037
C0043246	Laceration	Laceration NOS	210496003	SNOMEDCT	T037
C0043246	Laceration	Laceration NOS	262543001	SNOMEDCT	T037
C0043246	Laceration	Laceration , NOS	35933005	SNOMEDCT	T037
C0043246	Lacerations	Lacerations	157351009	SNOMEDCT	T037
C0043246	Lacerations	Lacerations	269347002	SNOMEDCT	T037
C0043246	Laceration	Laceration ( s )	C50446	NCI	T037
C0043246	Tear	Tear	125671007	SNOMEDCT	T037
C0043246	Tear	Tear , NOS	35933005	SNOMEDCT	T037
C0043246	Wound	Wound , lacerated	35933005	SNOMEDCT	T037
C0043246	Tear	Tear - wound	35933005	SNOMEDCT	T037
C0043246	Laceration	Laceration - injury	312608009	SNOMEDCT	T037
C0043246	Laceration	Laceration ( morphologic abnormality )	35933005	SNOMEDCT	T037
C0043246	Laceration	Laceration - injury ( disorder )	312608009	SNOMEDCT	T037
C0043246	Laceration	Laceration NOS ( disorder )	262543001	SNOMEDCT	T037
C0043251	Trauma	Trauma	C3671	NCI	T037
C0043251	Trauma	Trauma	122549002	SNOMEDCT	T037
C0043251	Trauma	Trauma	19130008	SNOMEDCT	T037
C0043251	Trauma	Trauma , NOS	19130008	SNOMEDCT	T037
C0086511	Arthroplasty	Arthroplasty of knee	19063003	SNOMEDCT	T061
C0086511	Arthroplasty	Arthroplasty of knee , NOS	19063003	SNOMEDCT	T061
C0086511	Arthroplasty	Arthroplasty of the knee	19063003	SNOMEDCT	T061
C0086511	Knee	Knee arthroplasty	265102002	SNOMEDCT	T061
C0086511	Knee	Knee arthroplasty	19063003	SNOMEDCT	T061
C0086511	Arthroplasty	Arthroplasty of the Knee	C51563	NCI	T061
C0086511	Total	Total knee replacement	47476003	SNOMEDCT	T061
C0086511	Total	Total knee replacement	81.54	ICD9CM	T061
C0086511	TOTAL	TOTAL KNEE REPLACEMENT	81.54	ICD9CM	T061
C0086511	Total	Total replacement of knee	47476003	SNOMEDCT	T061
C0086511	Total	Total Arthroplasty of the Knee	C51565	NCI	T061
C0086511	Repair	Repair of knee joint	19063003	SNOMEDCT	T061
C0086511	Repair	Repair of knee joint , NOS	19063003	SNOMEDCT	T061
C0086511	Knee	Knee replacement	265102002	SNOMEDCT	T061
C0086511	Knee	Knee replacement	19063003	SNOMEDCT	T061
C0086511	Prosthetic	Prosthetic total arthroplasty of the knee	47476003	SNOMEDCT	T061
C0086511	Prosthetic	Prosthetic total arthroplasty of the knee	366801004	SNOMEDCT	T061
C0086511	Prosthetic	Prosthetic total arthroplasty of the knee	366801004	SNOMEDCT	T061
C0086511	TKR	TKR - Total knee replacement	47476003	SNOMEDCT	T061
C0086511	Arthroplasty	Arthroplasty of knee ( procedure )	19063003	SNOMEDCT	T061
C0086511	Total	Total replacement of knee ( procedure )	47476003	SNOMEDCT	T061
C0086511	Prosthetic	Prosthetic total arthroplasty of the knee ( procedure )	366801004	SNOMEDCT	T061
C0175677	Traumatic	Traumatic AND / OR non - traumatic injury	417163006	SNOMEDCT	T037
C0175677	Injury	Injury NOS	157670007	SNOMEDCT	T037
C0175677	Injury	Injury NOS	157675002	SNOMEDCT	T037
C0175677	Injury	Injury NOS	157670007	SNOMEDCT	T037
C0175677	Injury	Injury NOS	157675002	SNOMEDCT	T037
C0175677	Injury	Injury NOS	212497001	SNOMEDCT	T037
C0175677	Injury	Injury	C3671	NCI	T037
