"cg","con","Concept.1","Concept.2","LCH","INTRINSIC_LCH","INTRINSIC_LIN","PATH","INTRINSIC_PATH","WUPALMER","lcs.s.","corpus.lcs","intrinsic.lcs","paths"
"sct-msh","UMNSRS_similarity","C0232471","C0020175",0,0.357385,0,0,0,0,"",NA,"",""
"sct-msh","UMNSRS_similarity","C0036396","C0020740",0.504104,0.231334,0.056066,0.111111,0.028562,0.333333,"C2720507",NA,"C2720507","C2720507=C0036396->C0027796->C0030193->C0037088->*C2720507*<-C0020740<-C0242937<-C0002771<-C0013227"
"sct-msh","UMNSRS_similarity","C0006277","C0032285",0.752052,0.697926,0.908799,0.333333,0.247257,0.944444,"C1290890|C0035243|C1285331",NA,"C1290890","C1290890=C0006277->*C1290890*<-C0032285|C0035243=C0006277->*C0035243*<-C0032285|C1285331=C0006277->*C1285331*<-C0032285"
"sct-msh","UMNSRS_similarity","C0006840","C0025815",0.504104,0.222752,0,0.111111,0,0.2,"C0000000",NA,"C0000000","C0000000=C0006840->C0026946->C0029511->*C0000000*<-C0025815<-C0003209<-C1258064<-C0600511<-C0600512"
"sct-msh","UMNSRS_similarity","C0037384","C0001962",0.560824,0.257199,0.062965,0.142857,0.032192,0.4,"C2720507",NA,"C2720507","C2720507=C0037384->C0037090->C0037088->*C2720507*<-C0001962<-C0358214<-C0013227"
"sct-msh","UMNSRS_similarity","C0232197","C0357929",0.504104,0.227186,0.059615,0.111111,0.028019,0.333333,"C1256741",NA,"C1256741","C1256741=C0232197->C0003811->C0018799->C0007222->C0012674->*C1256741*<-C0357929<-C0013227<-C0007995"
"sct-msh","UMNSRS_similarity","C0012265","C0012373",0.687124,0.386866,0.538588,0.25,0.058647,0.842105,"C0007220",NA,"C0007220","C0007220=C0012265->C0007209->*C0007220*<-C0012373"
"sct-msh","UMNSRS_similarity","C0002333","C0024002",0.752052,0.609819,0.859606,0.333333,0.164492,0.933333,"C0005064|C0360114|C0020592|C0040616|C0242976",NA,"C0360114","C0242976=C0002333->*C0242976*<-C0024002|C0360114=C0002333->*C0360114*<-C0024002|C0020592=C0002333->*C0020592*<-C0024002|C0040616=C0002333->*C0040616*<-C0024002|C0005064=C0002333->*C0005064*<-C0024002"
"sct-msh","UMNSRS_similarity","C0019158","C1623038",0.530687,0.314114,0.365391,0.125,0.041888,0.631579,"C0012674|C0030660",NA,"C0030660","C0012674=C0019158->C0023895->C0012242->*C0012674*<-C1623038<-C0016059<-C0030660<-C0039058|C0030660=C0019158->C1285331->C1285332->C1290884->C0012634->*C0030660*<-C1623038<-C0016059"
"sct-msh","UMNSRS_similarity","C0013404","C0025815",0.530687,0.236744,0.057445,0.125,0.029286,0.363636,"C2720507",NA,"C2720507","C2720507=C0013404->C0037090->C0037088->*C2720507*<-C0025815<-C0003209<-C0002771<-C0013227"
"sct-msh","UMNSRS_similarity","C0149651","C0885057",0.480325,0.222133,0.053793,0.1,0.027372,0.307692,"C2720507",NA,"C2720507","C2720507=C0149651->C1265981->C0332447->C1260954->C1268086->*C2720507*<-C0885057<-C0361218<-C0013231<-C0013227"
"sct-msh","UMNSRS_similarity","C0035435","C0917801",0.560824,0.373405,0.482534,0.142857,0.055106,0.785714,"C0012634|C0012674|C1285159",NA,"C1285159","C0012674=C0035435->C0026857->*C0012674*<-C0917801<-C0700201<-C0851578<-C0027765|C1285159=C0035435->C0026857->*C1285159*<-C0917801<-C0700201<-C0851578<-C0027765|C0012634=C0035435->C0009782->C1290853->*C0012634*<-C0917801<-C0700201<-C0851578"
"sct-msh","UMNSRS_similarity","C0035435","C0032950",0.504104,0.268052,0.071537,0.111111,0.03385,0.333333,"C1256741",NA,"C1256741","C1256741=C0035435->C0026857->C0012674->*C1256741*<-C0032950<-C0017710<-C0019932<-C0019934<-C0007995"
"sct-msh","UMNSRS_similarity","C0011847","C0020456",0,0.374069,0,0,0,0,"",NA,"",""
"sct-msh","UMNSRS_similarity","C0232197","C0043031",0.458814,0.229474,0.060229,0.090909,0.028317,0.285714,"C2720507|C1256741",NA,"C1256741","C2720507=C0232197->C0003811->C0030660->C1444750->C0449234->C0332280->*C2720507*<-C0043031<-C0003280<-C0018938<-C0013227|C1256741=C0232197->C0003811->C0018799->C0007222->C0012674->*C1256741*<-C0043031<-C0003280<-C0018938<-C0013227<-C0007995"
"sct-msh","UMNSRS_similarity","C0877781","C0017887",0.530687,0.214186,0,0.125,0,0.222222,"C0000000",NA,"C0000000","C0000000=C0877781->C0018681->C0030193->C0029625->*C0000000*<-C0017887<-C0042402<-C0042394"
"sct-msh","UMNSRS_similarity","C0040038","C0232197",0.595614,0.428807,0.627457,0.166667,0.071204,0.827586,"C0007222",NA,"C0007222","C0007222=C0040038->C0728936->*C0007222*<-C0232197<-C0003811<-C0018799"
"sct-msh","UMNSRS_similarity","C0019079","C0043031",0.530687,0.22771,0.055159,0.125,0.028087,0.363636,"C2720507",NA,"C2720507","C2720507=C0019079->C0019080->C0037088->*C2720507*<-C0043031<-C0003280<-C0018938<-C0013227"
"sct-msh","UMNSRS_similarity","C0029456","C0246719",0.480325,0.229747,0.060302,0.1,0.028353,0.307692,"C2720507|C0000000|C1256741",NA,"C1256741","C2720507=C0029456->C0005944->C0025517->C0012634->C0037088->*C2720507*<-C0246719<-C0012544<-C0521941<-C0013227|C0000000=C0029456->C0005940->C0263660->C0041785->*C0000000*<-C0246719<-C0012544<-C0521941<-C0013227<-C2720507|C1256741=C0029456->C0005940->C0026857->C0012674->*C1256741*<-C0246719<-C0012544<-C0521941<-C0013227<-C0007995"
"sct-msh","UMNSRS_similarity","C0004134","C0009806",0.595614,0.293271,0.287958,0.166667,0.038038,0.666667,"C0037088",NA,"C0037088","C0037088=C0004134->C0575091->C0427350->*C0037088*<-C0009806<-C0037089"
"sct-msh","UMNSRS_similarity","C0026946","C0009187",0.636763,0.482331,0.675506,0.2,0.091207,0.8,"C0009450",NA,"C0009450","C0009450=C0026946->*C0009450*<-C0009187<-C0033740<-C0030499"
"sct-msh","UMNSRS_similarity","C0036396","C0231236",0.530687,0.277773,0.272943,0.125,0.035406,0.588235,"C0037088",NA,"C0037088","C0037088=C0036396->C0027796->C0030193->*C0037088*<-C0231236<-C1282984<-C0424575<-C1287406"
"sct-msh","UMNSRS_similarity","C0009014","C0025859",0.752052,0.560861,0.812087,0.333333,0.131157,0.9,"C0039051|C0003364",NA,"C0039051","C0039051=C0009014->*C0039051*<-C0025859|C0003364=C0009014->*C0003364*<-C0025859"
"sct-msh","UMNSRS_similarity","C0003615","C0007546",0.504104,0.215388,0,0.111111,0,0.2,"C0000000",NA,"C0000000","C0000000=C0003615->C0578878->C0029512->*C0000000*<-C0007546<-C0279516<-C0003204<-C0013227<-C2720507"
"sct-msh","UMNSRS_similarity","C0007561","C0007557",0.752052,0.370255,0.528081,0.333333,0.054309,0.909091,"C0279516",NA,"C0279516","C0279516=C0007561->*C0279516*<-C0007557"
"sct-msh","UMNSRS_similarity","C0877781","C0000970",0.530687,0.238485,0.057896,0.125,0.029523,0.363636,"C2720507",NA,"C2720507","C2720507=C0877781->C0018681->C0030193->C0037088->*C2720507*<-C0000970<-C0003419<-C0013227"
"sct-msh","UMNSRS_similarity","C0070166","C0043031",0.687124,0.293512,0.310755,0.25,0.03808,0.823529,"C1320237",NA,"C1320237","C1320237=C0070166->*C1320237*<-C0043031<-C0010206"
"sct-msh","UMNSRS_similarity","C0017160","C0013369",0.843562,0.677685,0.896417,0.5,0.225157,0.969697,"C0017160",NA,"C0017160","C0017160=C0017160*<-C0013369"
"sct-msh","UMNSRS_similarity","C0014544","C0019209",0.636763,0.37655,0.513598,0.2,0.055914,0.818182,"C1302710",NA,"C1302710","C1302710=C0014544->C0006111->*C1302710*<-C0019209<-C0023895"
"sct-msh","UMNSRS_similarity","C0020639","C0020175",0.504104,0.279257,0.274357,0.111111,0.03565,0.555556,"C1256741|C0037088",NA,"C0037088","C0037088=C0020639->C0025517->C0012634->*C0037088*<-C0020175<-C0566580<-C0559899<-C0574125<-C0427350|C1256741=C0020639->C0025517->C0028715->C0012674->*C1256741*<-C0020175<-C0012244<-C2350515<-C2930671"
"sct-msh","UMNSRS_similarity","C0013404","C0073992",0.530687,0.232286,0.056306,0.125,0.028688,0.363636,"C2720507",NA,"C2720507","C2720507=C0013404->C0037090->C0037088->*C2720507*<-C0073992<-C0006280<-C0282686<-C0013227"
"sct-msh","UMNSRS_similarity","C0028978","C0025598",0.636763,0.30316,0.320788,0.2,0.039818,0.777778,"C1320237",NA,"C1320237","C1320237=C0028978->C0358591->*C1320237*<-C0025598<-C0005382"
"sct-msh","UMNSRS_similarity","C0008838","C0061851",0.636763,0.315717,0.334125,0.2,0.0422,0.777778,"C1320237",NA,"C1320237","C1320237=C0008838->C1532645->*C1320237*<-C0061851<-C0360055"
"sct-msh","UMNSRS_similarity","C0025815","C0032950",0.843562,0.769529,0.943453,0.5,0.344346,0.969697,"C0032950",NA,"C0032950","C0032950=C0025815->*C0032950"
"sct-msh","UMNSRS_similarity","C0022116","C0286651",0.504104,0.234427,0.061578,0.111111,0.028974,0.333333,"C1256741",NA,"C1256741","C1256741=C0022116->C0728936->C0007222->C0012674->*C1256741*<-C0286651<-C0034325<-C0019398<-C0007995"
"sct-msh","UMNSRS_similarity","C0231655","C0017887",0.530687,0.214186,0,0.125,0,0.222222,"C0000000",NA,"C0000000","C0000000=C0231655->C0037011->C0030193->C0029625->*C0000000*<-C0017887<-C0042402<-C0042394"
"sct-msh","UMNSRS_similarity","C0026946","C0005716",0.843562,0.633976,0.864057,0.5,0.18394,0.947368,"C0026946",NA,"C0026946","C0026946=C0026946*<-C0005716"
"sct-msh","UMNSRS_similarity","C0027497","C0061851",0.530687,0.233386,0.056585,0.125,0.028834,0.363636,"C2720507",NA,"C2720507","C2720507=C0027497->C0037089->C0037088->*C2720507*<-C0061851<-C0003297<-C0017173<-C0013227"
"sct-msh","UMNSRS_similarity","C0008402","C1142985",0.752052,0.533876,0.794465,0.333333,0.115766,0.916667,"C0003277",NA,"C0003277","C0003277=C0008402->*C0003277*<-C1142985"
"sct-msh","UMNSRS_similarity","C1883552","C0074554",0.504104,0.231069,0.055999,0.111111,0.028527,0.333333,"C2720507",NA,"C2720507","C2720507=C1883552->C0442795->C0442719->C1285164->*C2720507*<-C0074554<-C0360714<-C0014432<-C0013227"
"sct-msh","UMNSRS_similarity","C0152447","C0003564",0.439176,0.303262,0.350439,0.083333,0.039837,0.56,"C0578533|C1290906",NA,"C0578533","C0578533=C0152447->C0426398->C1291662->C0577118->C0579140->*C0578533*<-C0003564<-C0042940<-C0023051<-C0426538<-C0575155<-C0575141|C1290906=C0152447->C0426398->C1291662->C0577118->C0579140->C0578533->*C1290906*<-C0003564<-C0042940<-C0023051<-C0558385<-C1290853"
"sct-msh","UMNSRS_similarity","C0079083","C0008838",0.752052,0.635239,0.866275,0.333333,0.185018,0.9,"C1443632|C0206135|C1443631|C0010360|C0003392",NA,"C1443632","C1443631=C0079083->*C1443631*<-C0008838|C0003392=C0079083->*C0003392*<-C0008838|C0206135=C0079083->*C0206135*<-C0008838|C0010360=C0079083->*C0010360*<-C0008838|C1443632=C0079083->*C1443632*<-C0008838"
"sct-msh","UMNSRS_similarity","C0442874","C0039128",0.595614,0.335698,0.284933,0.166667,0.046286,0.545455,"C0012674",NA,"C0012674","C0012674=C0442874->C0027765->*C0012674*<-C0039128<-C0036916<-C0042769"
"sct-msh","UMNSRS_similarity","C0039128","C0220892",0.458814,0.232784,0.061127,0.090909,0.028754,0.285714,"C1256741",NA,"C1256741","C1256741=C0039128->C0036916->C0042769->C0012674->*C1256741*<-C0220892<-C0030842<-C0282215<-C0038776<-C0021521<-C0007995"
"sct-msh","UMNSRS_similarity","C0022251","C0025859",0.687124,0.404954,0.590894,0.25,0.063765,0.857143,"C0003364",NA,"C0003364","C0003364=C0022251->C0042402->*C0003364*<-C0025859"
"sct-msh","UMNSRS_similarity","C0027697","C0553735",0.636763,0.423771,0.621622,0.2,0.069564,0.857143,"C1285331",NA,"C1285331","C1285331=C0027697->*C1285331*<-C0553735<-C0266929<-C0031099"
"sct-msh","UMNSRS_similarity","C0013090","C0220892",0.636763,0.375621,0.534622,0.2,0.055674,0.833333,"C0279516",NA,"C0279516","C0279516=C0013090->*C0279516*<-C0220892<-C0030842<-C0026458"
"sct-msh","UMNSRS_similarity","C0041948","C0020740",0.504104,0.233857,0.056705,0.111111,0.028897,0.333333,"C2720507",NA,"C2720507","C2720507=C0041948->C0025517->C0012634->C0037088->*C2720507*<-C0020740<-C0242937<-C0002771<-C0013227"
"sct-msh","UMNSRS_similarity","C0034642","C0010520",0.636763,0.290395,0.285132,0.2,0.037535,0.714286,"C0037088",NA,"C0037088","C0037088=C0034642->C0035234->C0037090->*C0037088*<-C0010520"
"sct-msh","UMNSRS_similarity","C0231451","C0020175",0.560824,0.30983,0.374295,0.142857,0.041066,0.666667,"C0427350",NA,"C0427350","C0427350=C0231451->C0575102->*C0427350*<-C0020175<-C0566580<-C0559899<-C0574125"
"sct-msh","UMNSRS_similarity","C0152149","C0246719",0.504104,0.223191,0.05405,0.111111,0.027506,0.333333,"C2720507",NA,"C2720507","C2720507=C0152149->C0000737->C0037089->C0037088->*C2720507*<-C0246719<-C0012544<-C0521941<-C0013227"
"sct-msh","UMNSRS_similarity","C1623038","C0018995",0.530687,0.30199,0.351945,0.125,0.039603,0.631579,"C0030660",NA,"C0030660","C0030660=C1623038->C0016059->*C0030660*<-C0018995<-C0025534<-C0025521<-C0019247<-C0012634"
"sct-msh","UMNSRS_similarity","C0030305","C0086543",0.560824,0.327506,0.384066,0.142857,0.044565,0.769231,"C0012674|C0159135",NA,"C0159135","C0012674=C0030305->C0030286->C0012242->*C0012674*<-C0086543<-C0154777<-C0015397|C0159135=C0030305->C1285331->C1285332->*C0159135*<-C0086543<-C0154777<-C1285162"
"sct-msh","UMNSRS_similarity","C0030305","C0332566",0.595614,0.309348,0.363531,0.166667,0.040975,0.8,"C0159135",NA,"C0159135","C0159135=C0030305->C1285331->C1285332->*C0159135*<-C0332566<-C0332563"
"sct-msh","UMNSRS_similarity","C0040038","C0013404",0.595614,0.363388,0.470318,0.166667,0.052611,0.814815,"C0000000|C1285159",NA,"C1285159","C1285159=C0040038->C0728936->C0007222->*C1285159*<-C0013404<-C0035204|C0000000=C0040038->C0013922->C0013924->*C0000000*<-C0013404<-C0029601"
"sct-msh","UMNSRS_similarity","C0019158","C0019209",0.752052,0.603162,0.852845,0.333333,0.159504,0.933333,"C0023895",NA,"C0023895","C0023895=C0019158->*C0023895*<-C0019209"
"sct-msh","UMNSRS_similarity","C0034880","C0003564",0.595614,0.400647,0.598143,0.166667,0.062507,0.83871,"C0027854|C0029896",NA,"C0027854","C0029896=C0034880->C0013447->*C0029896*<-C0003564<-C0042940<-C0023051|C0027854=C0034880->C0260662->C0036659->*C0027854*<-C0003564<-C0042940"
"sct-msh","UMNSRS_similarity","C0040034","C0018834",0.595614,0.289585,0.284339,0.166667,0.037395,0.666667,"C0000000|C0037088",NA,"C0037088","C0037088=C0040034->C0005779->C0012634->*C0037088*<-C0018834<-C0037089|C0000000=C0040034->C0159073->*C0000000*<-C0018834<-C0221727<-C0348727"
"sct-msh","UMNSRS_similarity","C0003615","C0031154",0.752052,0.523866,0.773424,0.333333,0.110528,0.916667,"C1112209",NA,"C1112209","C1112209=C0003615->*C1112209*<-C0031154"
"sct-msh","UMNSRS_similarity","C0025587","C0009262",0.530687,0.229002,0.055481,0.125,0.028255,0.363636,"C2720507",NA,"C2720507","C2720507=C0025587->C0030193->C0037088->*C2720507*<-C0009262<-C0018100<-C1298773<-C0013227"
"sct-msh","UMNSRS_similarity","C0741439","C1282609",0.687124,0.563557,0.826118,0.25,0.132803,0.903226,"C0023510",NA,"C0023510","C0023510=C0741439->C0240173->*C0023510*<-C1282609"
"sct-msh","UMNSRS_similarity","C0028351","C0033487",0.687124,0.300463,0.317965,0.25,0.039325,0.823529,"C1320237",NA,"C1320237","C1320237=C0028351->C0039052->*C1320237*<-C0033487"
"sct-msh","UMNSRS_similarity","C0035435","C0162323",0,0.402553,0,0,0,0,"",NA,"",""
"sct-msh","UMNSRS_similarity","C0085593","C0037384",0.687124,0.278842,0.273961,0.25,0.035582,0.769231,"C0037088",NA,"C0037088","C0037088=C0085593->*C0037088*<-C0037384<-C0037090"
"sct-msh","UMNSRS_similarity","C0276185","C0752270",0.530687,0.210783,0,0.125,0,0.222222,"C0000000",NA,"C0000000","C0000000=C0276185->C1532229->C0029842->*C0000000*<-C0752270<-C2240391<-C0013227<-C2720507"
"sct-msh","UMNSRS_similarity","C1257763","C0010592",0.530687,0.235112,0.057026,0.125,0.029066,0.363636,"C2720507|C0000000",NA,"C2720507","C2720507=C1257763->C0028709->C0012634->C0037088->*C2720507*<-C0010592<-C0014432<-C0013227|C0000000=C1257763->C0028709->C0159043->*C0000000*<-C0010592<-C0014432<-C0013227<-C2720507"
"sct-msh","UMNSRS_similarity","C0023530","C0005740",0.504104,0.22967,0,0.111111,0,0.2,"C0000000",NA,"C0000000","C0000000=C0023530->C0580531->C0159073->*C0000000*<-C0005740<-C0003236<-C0003392<-C0013227<-C2720507"
"sct-msh","UMNSRS_similarity","C0040165","C0279175",0.843562,0.809962,0.956087,0.5,0.415167,0.952381,"C0279175",NA,"C0279175","C0279175=C0040165->*C0279175"
"sct-msh","UMNSRS_similarity","C0004153","C0152447",0.439176,0.293895,0.323162,0.083333,0.038148,0.521739,"C1290906",NA,"C1290906","C1290906=C0004153->C0003850->C0410013->C0263978->C1290853->*C1290906*<-C0152447<-C0426398<-C1291662<-C0577118<-C0579140<-C0578533"
"sct-msh","UMNSRS_similarity","C0232197","C0040165",0.458814,0.23805,0.062583,0.090909,0.029463,0.285714,"C1256741",NA,"C1256741","C1256741=C0232197->C0003811->C0018799->C0007222->C0012674->*C1256741*<-C0040165<-C0301713<-C0002520<-C0002526<-C0007995"
"sct-msh","UMNSRS_similarity","C0398623","C0043031",0.504104,0.234866,0.056963,0.111111,0.029032,0.333333,"C2720507",NA,"C2720507","C2720507=C0398623->C0018939->C1285556->C1298232->*C2720507*<-C0043031<-C0003280<-C0018938<-C0013227"
"sct-msh","UMNSRS_similarity","C0018991","C0018681",0.636763,0.421706,0.622928,0.2,0.068903,0.866667,"C0027854",NA,"C0027854","C0027854=C0018991->C0522224->*C0027854*<-C0018681<-C0030193"
"sct-msh","UMNSRS_similarity","C0004153","C0040460",0.530687,0.329535,0.433466,0.125,0.044985,0.740741,"C1290853|C0037088|C0158370|C0012634|C0263978",NA,"C0158370","C0012634=C0004153->C0003850->C1285162->*C0012634*<-C0040460<-C0040435<-C1302710<-C1290853|C1290853=C0004153->C0003850->C0410013->C0263978->*C1290853*<-C0040460<-C0040435<-C1302710|C0037088=C0004153->C0003850->C1285162->C0012634->*C0037088*<-C0040460<-C0015468<-C0030193|C0158370=C0004153->C0003850->C0410013->*C0158370*<-C0040460<-C1704330<-C0026636<-C1290856|C0263978=C0004153->C0003850->C0410013->*C0263978*<-C0040460<-C1704330<-C0022362<-C1290857"
"sct-msh","UMNSRS_similarity","C0009024","C0037763",0.752052,0.457855,0.671692,0.333333,0.081444,0.875,"C0427194",NA,"C0427194","C0427194=C0009024->*C0427194*<-C0037763"
"sct-msh","UMNSRS_similarity","C0553735","C0027697",0.636763,0.423771,0.621622,0.2,0.069564,0.857143,"C1285331",NA,"C1285331","C1285331=C0553735->C0266929->C0031099->*C1285331*<-C0027697"
"sct-msh","UMNSRS_similarity","C0013404","C0027358",0.560824,0.240261,0.05836,0.142857,0.029766,0.4,"C2720507",NA,"C2720507","C2720507=C0013404->C0037090->C0037088->*C2720507*<-C0027358<-C1629845<-C0013227"
"sct-msh","UMNSRS_similarity","C0006309","C0027358",0.530687,0.221533,0,0.125,0,0.222222,"C0000000",NA,"C0000000","C0000000=C0006309->C0085423->C0374996->*C0000000*<-C0027358<-C1629845<-C0013227<-C2720507"
"sct-msh","UMNSRS_similarity","C0025287","C0020453",0.636763,0.405686,0.604109,0.2,0.063981,0.866667,"C0027854",NA,"C0027854","C0027854=C0025287->*C0027854*<-C0020453<-C0752262<-C0036659"
"sct-msh","UMNSRS_similarity","C0039730","C0060277",0.530687,0.218322,0,0.125,0,0.222222,"C0000000",NA,"C0000000","C0000000=C0039730->C0477306->*C0000000*<-C0060277<-C0018928<-C0018938<-C0013227<-C2720507"
"sct-msh","UMNSRS_similarity","C0017887","C0025859",0.687124,0.402792,0.588311,0.25,0.063131,0.857143,"C0003364",NA,"C0003364","C0003364=C0017887->C0042402->*C0003364*<-C0025859"
"sct-msh","UMNSRS_similarity","C0020517","C0025287",0.595614,0.330555,0.326209,0.166667,0.045198,0.666667,"C0012674|C0037088",NA,"C0037088","C0012674=C0020517->C0021053->*C0012674*<-C0025287<-C0027854<-C0027765|C0037088=C0020517->C1719883->C0012634->*C0037088*<-C0025287<-C0027854"
"sct-msh","UMNSRS_similarity","C0242706","C0076275",0.560824,0.223035,0.054012,0.142857,0.027486,0.4,"C2720507",NA,"C2720507","C2720507=C0242706->C0037090->C0037088->*C2720507*<-C0076275<-C0014432<-C0013227"
"sct-msh","UMNSRS_similarity","C0001882","C0029456",0.560824,0.284728,0.279615,0.142857,0.036564,0.625,"C0037088",NA,"C0037088","C0037088=C0001882->C0026603->*C0037088*<-C0029456<-C0005944<-C0025517<-C0012634"
"sct-msh","UMNSRS_similarity","C0009806","C0012373",0.560824,0.234687,0.056917,0.142857,0.029008,0.4,"C2720507",NA,"C2720507","C2720507=C0009806->C0037089->C0037088->*C2720507*<-C0012373<-C0007220<-C0013227"
"sct-msh","UMNSRS_similarity","C0006840","C0026946",0.843562,0.672838,0.888408,0.5,0.220165,0.947368,"C0026946",NA,"C0026946","C0026946=C0006840->*C0026946"
"sct-msh","UMNSRS_similarity","C0074554","C0016157",0.636763,0.566354,0.813091,0.2,0.134532,0.818182,"C0003367",NA,"C0003367","C0003367=C0074554->C0360714->*C0003367*<-C0016157<-C0354657"
"sct-msh","UMNSRS_similarity","C0009421","C0003129",0.560824,0.270121,0.225118,0.142857,0.034175,0.5,"C0012674",NA,"C0012674","C0012674=C0009421->C0027765->*C0012674*<-C0003129<-C0003130<-C0004044<-C0043251"
"sct-msh","UMNSRS_similarity","C0002962","C0858529",0,0.358887,0,0,0,0,"",NA,"",""
"sct-msh","UMNSRS_similarity","C0042384","C0009951",0.530687,0.352299,0.456873,0.125,0.04998,0.758621,"C1290906|C0012674|C1285159",NA,"C1285159","C0012674=C0042384->C0042373->C0007222->*C0012674*<-C0009951<-C0036572<-C0027854<-C0027765|C1285159=C0042384->C0042373->C0007222->*C1285159*<-C0009951<-C0036572<-C0027854<-C0027765|C1290906=C0042384->C1285331->C1285332->C1290853->*C1290906*<-C0009951<-C0036572<-C0730595"
"sct-msh","UMNSRS_similarity","C0039070","C0002333",0.504104,0.230087,0.060394,0.111111,0.028398,0.333333,"C0000000|C1256741",NA,"C1256741","C0000000=C0039070->C0041657->C0221540->*C0000000*<-C0002333<-C0020592<-C1258063<-C0600511<-C0600512|C1256741=C0039070->C0007222->C0012674->*C1256741*<-C0002333<-C0005064<-C0005034<-C0019398<-C0007995"
"sct-msh","UMNSRS_similarity","C0018081","C0076275",0.560824,0.217057,0,0.142857,0,0.25,"C0000000",NA,"C0000000","C0000000=C0018081->C0153223->*C0000000*<-C0076275<-C0014432<-C0013227<-C2720507"
"sct-msh","UMNSRS_similarity","C0242706","C0076275",0.560824,0.223035,0.054012,0.142857,0.027486,0.4,"C2720507",NA,"C2720507","C2720507=C0242706->C0037090->C0037088->*C2720507*<-C0076275<-C0014432<-C0013227"
"sct-msh","UMNSRS_similarity","C0036323","C0242723",0.636763,0.482156,0.724389,0.2,0.091133,0.818182,"C0030499",NA,"C0030499","C0030499=C0036323->C0040820->C0018889->*C0030499*<-C0242723"
"sct-msh","UMNSRS_similarity","C0286651","C0074554",0.752052,0.668703,0.900573,0.333333,0.215993,0.923077,"C0003277|C0360714",NA,"C0360714","C0003277=C0286651->*C0003277*<-C0074554|C0360714=C0286651->*C0360714*<-C0074554"
"sct-msh","UMNSRS_similarity","C0037384","C0221232",0.530687,0.292317,0.321505,0.125,0.03787,0.631579,"C1290906",NA,"C1290906","C1290906=C0037384->C0577917->C0425442->*C1290906*<-C0221232<-C0029788<-C0178298<-C0578533"
"sct-msh","UMNSRS_similarity","C0003129","C0004134",0.595614,0.304067,0.333964,0.166667,0.039986,0.705882,"C1290906",NA,"C1290906","C1290906=C0003129->C0003130->C0425442->*C1290906*<-C0004134<-C0013384"
"sct-msh","UMNSRS_similarity","C0009421","C0086543",0.595614,0.285158,0.237946,0.166667,0.036637,0.545455,"C0012674",NA,"C0012674","C0012674=C0009421->C0027765->*C0012674*<-C0086543<-C0154777<-C0015397"
"sct-msh","UMNSRS_similarity","C0085208","C0002600",0.687124,0.481259,0.719279,0.25,0.090756,0.88,"C0003289",NA,"C0003289","C0003289=C0085208->*C0003289*<-C0002600<-C0003290"
"sct-msh","UMNSRS_similarity","C0003126","C0009806",0.560824,0.281517,0.276521,0.142857,0.036025,0.625,"C0037088",NA,"C0037088","C0037088=C0003126->C0576646->C1291731->C0422837->*C0037088*<-C0009806<-C0037089"
"sct-msh","UMNSRS_similarity","C0018681","C0016382",0.687124,0.288503,0.283282,0.25,0.037208,0.769231,"C0037088",NA,"C0037088","C0037088=C0018681->C0030193->*C0037088*<-C0016382"
"sct-msh","UMNSRS_similarity","C0741439","C0027497",0.530687,0.288306,0.28309,0.125,0.037174,0.588235,"C0000000|C0039058|C0037088",NA,"C0037088","C0037088=C0741439->C0151683->C0017377->C0730319->C2711906->*C0037088*<-C0027497<-C0037089|C0000000=C0741439->C0151683->C0477318->*C0000000*<-C0027497<-C0037089<-C0037088<-C2720507|C0039058=C0741439->C0151683->C0023518->C0030660->*C0039058*<-C0027497<-C0037089<-C0037088"
"sct-msh","UMNSRS_similarity","C0031412","C0042291",0.752052,0.466569,0.690808,0.333333,0.084794,0.9,"C0003286",NA,"C0003286","C0003286=C0031412->*C0003286*<-C0042291"
"sct-msh","UMNSRS_similarity","C0005740","C0012772",0.636763,0.310705,0.328764,0.2,0.041233,0.777778,"C1320237",NA,"C1320237","C1320237=C0005740->*C1320237*<-C0012772<-C0012194<-C0007974"
"sct-msh","UMNSRS_similarity","C0376286","C0038187",0.687124,0.611342,0.856597,0.25,0.165655,0.869565,"C0162429",NA,"C0162429","C0162429=C0376286->C0011156->*C0162429*<-C0038187"
"sct-msh","UMNSRS_similarity","C0026946","C0025815",0.504104,0.259826,0.068966,0.111111,0.032586,0.333333,"C2720507|C1256741",NA,"C1256741","C2720507=C0026946->C0009450->C1285556->C1298232->*C2720507*<-C0025815<-C0003209<-C0002771<-C0013227|C1256741=C0026946->C0004615->C0012674->*C1256741*<-C0025815<-C0033006<-C0038317<-C0029224<-C0007995"
"sct-msh","UMNSRS_similarity","C0162323","C0003862",0,0.362506,0,0,0,0,"",NA,"",""
"sct-msh","UMNSRS_similarity","C0878544","C0002962",0.752052,0.69169,0.906016,0.333333,0.240226,0.933333,"C0878544",NA,"C0878544","C0878544=C0878544*<-C0002962<-C0151744"
"sct-msh","UMNSRS_similarity","C1623038","C0074554",0.480325,0.225743,0.054674,0.1,0.027833,0.307692,"C2720507",NA,"C2720507","C2720507=C1623038->C0016059->C0699748->C0282354->C1285164->*C2720507*<-C0074554<-C0360714<-C0014432<-C0013227"
"sct-msh","UMNSRS_similarity","C0020175","C0038187",0.530687,0.21238,0,0.125,0,0.222222,"C0000000",NA,"C0000000","C0000000=C0020175->C0012244->C2350515->C2930671->C1256741->*C0000000*<-C0038187<-C0015619"
